sec,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-3.388,0,-4,0,9,-1,-7,0,-1
-3.384,4,1,1,3,2,-8,-1,-2
-3.38,2,6,2,-6,2,-2,0,0
-3.376,-1,2,3,-6,1,4,-2,1
-3.372,0,-4,-1,-2,0,5,-1,2
-3.368,3,-4,-3,2,0,3,-1,0
-3.364,-1,-1,-3,3,-2,-2,0,0
-3.36,0,5,1,0,-1,-4,0,0
-3.356,3,7,3,-1,0,-2,0,0
-3.352,-1,0,1,0,2,-3,-1,0
-3.348,-8,-6,-1,2,1,-2,-2,0
-3.344,0,1,-4,-2,-1,1,1,2
-3.34,10,1,-3,-4,-1,1,1,-1
-3.336,6,-3,1,0,0,1,0,0
-3.332,-2,0,0,3,0,0,0,0
-3.328,-4,7,1,4,-1,-3,0,0
-3.324,-2,-1,3,0,0,-5,-1,0
-3.32,0,-5,3,-3,-2,-1,0,1
-3.316,4,0,-1,-4,1,2,0,0
-3.312,5,8,-4,-1,0,4,0,0
-3.308,3,4,-5,0,0,0,0,-1
-3.304,0,-1,0,2,0,-3,0,0
-3.3,-2,-7,6,1,0,0,0,0
-3.296,0,-4,3,-3,1,6,-1,1
-3.292,2,5,-1,-1,2,1,0,0
-3.288,1,8,1,0,1,-7,1,0
-3.284,-1,3,0,0,-3,-5,1,0
-3.28,-1,0,-6,0,-1,3,0,0
-3.276,1,0,-2,1,-1,2,-3,2
-3.272,5,-4,5,2,0,3,-2,2
-3.268,1,-2,0,-3,1,0,0,0
-3.264,-3,6,-4,-2,2,-3,1,-2
-3.26,-2,7,-1,1,1,-2,-1,0
-3.256,2,0,1,0,-1,8,-1,0
-3.252,3,-3,1,1,0,0,0,0
-3.248,0,0,3,1,0,-11,0,1
-3.244,-1,0,5,0,0,-2,0,-1
-3.24,-1,0,-4,0,1,7,0,0
-3.236,-1,4,-9,0,2,6,0,0
-3.232,0,4,-1,-1,1,-2,0,1
-3.228,3,0,2,0,0,-4,1,0
-3.224,3,-1,2,3,1,0,-2,-1
-3.22,3,0,4,1,0,1,-1,-2
-3.216,-2,-1,3,-3,0,-2,0,0
-3.212,-7,0,-2,-2,0,-4,0,2
-3.208,0,4,0,2,1,5,0,1
-3.204,6,2,0,2,0,10,0,-3
-3.2,6,-3,-8,-1,1,-2,1,1
-3.196,-1,0,-7,-5,1,-11,-2,3
-3.192,-3,5,4,-1,0,1,-2,1
-3.188,-1,5,10,3,2,6,0,0
-3.184,0,-4,3,0,2,2,1,0
-3.18,-1,-7,-2,-2,-1,-3,3,0
-3.176,0,0,-3,1,0,0,0,-1
-3.172,4,8,0,3,1,-2,0,0
-3.168,1,5,-2,-1,0,-3,0,0
-3.164,-5,-4,-7,-2,-1,1,0,0
-3.16,0,-6,-3,0,0,6,-1,0
-3.156,3,1,8,2,1,4,0,0
-3.152,2,5,9,2,0,-3,1,0
-3.148,-4,0,-2,-1,1,-6,0,0
-3.144,-2,-1,-4,-8,0,-3,0,0
-3.14,0,2,-2,1,1,-1,-1,0
-3.136,3,0,-3,9,0,6,0,0
-3.132,5,0,1,3,-1,2,0,-1
-3.128,1,4,3,-3,-2,-4,0,0
-3.124,-5,4,0,-2,3,-5,-1,2
-3.12,-3,-1,0,0,3,-1,0,0
-3.116,4,-5,-1,1,-2,2,0,0
-3.112,5,-4,-2,0,0,1,1,1
-3.108,-4,0,0,-2,1,0,0,0
-3.104,-6,2,6,0,0,1,-3,-2
-3.1,0,2,1,0,0,0,-1,0
-3.096,3,3,-7,0,1,0,2,1
-3.092,0,0,-4,3,0,-5,0,1
-3.088,-3,-2,4,3,0,0,-1,0
-3.084,1,-6,3,-5,2,3,-2,-2
-3.08,5,1,-3,-5,2,-1,0,1
-3.076,2,5,-1,2,0,-2,0,1
-3.072,-2,-1,0,5,0,5,-2,2
-3.068,-3,1,1,1,1,4,0,2
-3.064,0,6,1,1,0,-5,1,0
-3.06,0,3,0,1,0,-6,2,0
-3.056,1,-1,-3,-4,0,4,0,-1
-3.052,0,-4,-4,-8,0,6,-1,0
-3.048,0,-5,2,2,1,2,0,0
-3.044,0,0,11,10,3,-4,0,-1
-3.04,3,10,8,1,0,-5,0,-1
-3.036,2,6,0,-9,-1,-3,-1,0
-3.032,-2,-1,-9,-4,0,2,0,1
-3.028,-2,-4,-9,2,2,0,-1,0
-3.024,0,0,-1,2,0,0,0,-1
-3.02,-2,0,5,-2,-1,1,3,-2
-3.016,1,1,6,3,-2,-1,-2,-2
-3.012,5,-1,0,4,1,-4,-1,2
-3.008,0,3,-1,-4,4,0,0,4
-3.004,-5,1,1,-6,1,1,-1,0
-3.0,-2,4,0,-1,-1,0,-2,-3
-2.996,0,0,-5,4,0,-1,0,-3
-2.992,3,-5,-4,3,0,0,4,1
-2.988,1,-2,3,-1,0,2,1,0
-2.984,0,4,7,-2,0,0,-2,3
-2.98,-2,2,2,0,2,0,-2,0
-2.976,-4,0,0,1,0,2,0,-4
-2.972,0,0,-6,2,-1,2,0,-2
-2.968,3,-3,-6,-2,1,-1,0,3
-2.964,3,-3,3,-3,2,-5,1,3
-2.96,-1,5,7,-3,0,1,-1,-1
-2.956,-2,5,1,0,0,7,-2,0
-2.952,-2,0,-3,2,0,1,-1,0
-2.948,-2,0,0,2,0,-2,0,0
-2.944,0,1,2,0,-1,0,0,-1
-2.94,6,-5,0,-1,3,0,-2,0
-2.936,0,-4,-3,-4,1,0,-1,2
-2.932,-3,2,-1,-4,0,3,0,3
-2.928,-2,8,4,3,1,0,-1,0
-2.924,-1,1,4,7,1,-7,-2,0
-2.92,0,-1,0,1,-2,2,0,0
-2.916,1,-3,-4,-5,1,9,5,0
-2.912,3,-2,-3,-5,1,-2,4,-1
-2.908,3,1,-2,0,1,-9,-6,0
-2.904,-3,4,2,0,1,1,-12,6
-2.9,0,1,7,0,1,6,4,2
-2.896,3,0,0,2,3,-1,13,-8
-2.892,3,0,-5,0,1,-7,1,-8
-2.888,0,1,-1,-2,0,-5,-13,7
-2.884,-3,-1,3,-2,1,0,-10,15
-2.88,0,0,3,0,0,7,6,0
-2.876,3,2,0,2,0,5,11,-13
-2.872,0,2,-2,0,1,-2,0,-8
-2.868,-1,3,-5,-1,1,-3,-7,6
-2.864,-2,1,-1,1,-1,-2,-6,13
-2.86,-1,-6,3,1,-1,-7,0,1
-2.856,4,-6,8,1,2,-1,3,-12
-2.852,0,1,0,1,2,1,2,-3
-2.848,-3,6,-6,1,1,1,-3,12
-2.844,-1,2,-5,-2,-1,2,0,5
-2.84,3,1,0,-4,0,3,2,-15
-2.836,0,3,3,1,0,-4,0,-14
-2.832,-1,0,0,2,0,-9,-4,9
-2.828,0,-10,-5,0,0,-5,-2,16
-2.824,-2,-2,4,0,3,1,2,1
-2.82,0,8,23,2,2,4,2,-9
-2.816,6,8,1,2,1,5,-2,-6
-2.812,1,-3,-48,2,-1,4,0,0
-2.808,-5,-4,-28,-5,-1,-1,-1,2
-2.804,-5,1,56,-16,0,-6,-2,3
-2.8,2,3,64,-2,0,-3,-1,2
-2.796,7,-3,-32,26,0,0,0,0
-2.792,0,0,-81,24,4,2,0,-3
-2.788,-10,4,-16,-10,2,5,0,-1
-2.784,-7,3,57,-30,-2,4,-1,1
-2.78,14,-5,44,-14,-1,-1,-1,3
-2.776,20,-6,-12,13,1,-7,2,3
-2.772,-19,15,-32,19,0,-3,2,0
-2.768,-42,25,-6,5,-2,6,0,-4
-2.764,4,-20,9,-14,1,3,-2,-1
-2.76,59,-58,-5,-13,1,-1,-1,6
-2.756,23,2,-14,14,2,-3,0,3
-2.752,-50,80,9,17,1,0,3,-1
-2.748,-46,44,27,-18,-2,1,4,-3
-2.744,22,-57,12,-31,-1,0,-1,0
-2.74,43,-82,-16,11,1,2,0,2
-2.736,7,1,-23,37,1,4,2,2
-2.732,-18,83,-4,11,1,-2,0,1
-2.728,-14,58,10,-20,2,-14,-2,-2
-2.724,0,-53,10,-21,3,0,-1,0
-2.72,9,-88,5,-6,-3,29,2,3
-2.716,-1,20,-1,6,-3,18,1,-1
-2.712,-10,104,-8,13,5,-41,1,-3
-2.708,8,8,-2,9,7,-49,-1,0
-2.704,24,-105,7,-1,-7,30,-2,4
-2.7,1,-47,5,-9,-14,79,0,0
-2.696,-23,78,-5,-10,2,10,2,0
-2.692,-16,76,-9,-3,21,-79,1,0
-2.688,7,-24,-6,7,9,-55,-1,-1
-2.684,15,-67,0,11,-12,30,-2,-1
-2.68,8,-19,13,1,-14,57,0,1
-2.676,0,30,16,-12,1,22,0,0
-2.672,-5,25,1,-10,10,-7,-1,0
-2.668,-5,0,-22,7,6,-26,2,0
-2.664,1,-4,-23,14,-2,-34,2,0
-2.66,3,0,6,0,-3,-4,-2,-1
-2.656,-1,-7,27,-9,5,30,-3,-1
-2.652,0,-10,13,-2,5,18,0,0
-2.648,7,1,-11,3,-7,-6,0,1
-2.644,-2,13,-13,-1,-14,-6,0,-1
-2.64,-12,11,-2,1,0,4,0,-1
-2.636,0,-4,1,5,18,-3,1,0
-2.632,19,-17,-1,1,10,-10,-2,1
-2.628,5,-10,3,-6,-6,-5,0,1
-2.624,-15,7,6,-5,-6,0,0,-1
-2.62,-13,15,0,1,-2,8,0,0
-2.616,0,5,-8,4,-5,15,1,-1
-2.612,8,0,-7,0,0,0,0,-2
-2.608,10,-5,3,-1,8,-18,0,-1
-2.604,4,-10,9,0,9,-4,0,1
-2.6,-4,-11,2,1,0,12,0,3
-2.596,-3,0,-4,0,-4,-1,0,1
-2.592,-2,18,-2,-5,-2,-10,0,-4
-2.588,-4,19,-3,-6,-1,4,-1,-1
-2.584,-1,-6,-4,0,1,1,0,0
-2.58,7,-25,4,7,0,-4,0,3
-2.576,8,-7,9,6,-1,13,0,2
-2.572,-1,20,2,3,0,17,0,1
-2.568,-7,13,-6,0,2,-12,0,-1
-2.564,0,-14,-8,-5,3,-28,0,-4
-2.56,6,-19,-4,-9,-1,-4,-2,-2
-2.556,1,4,6,-2,-1,13,-3,2
-2.552,-8,15,13,5,0,8,0,2
-2.548,-8,9,7,3,-1,2,1,1
-2.544,2,-1,-9,-1,-3,4,1,0
-2.54,12,-13,-13,3,-2,0,0,-3
-2.536,11,-13,-6,7,3,-5,0,0
-2.532,-3,1,1,0,6,-7,0,4
-2.528,-12,14,8,-9,3,-7,0,0
-2.524,-7,6,11,-8,-5,2,0,-3
-2.52,2,-3,3,-5,-4,12,-1,0
-2.516,5,0,-11,5,-1,8,-1,1
-2.512,4,0,-7,9,-1,-2,0,0
-2.508,2,-9,-1,5,0,-3,0,3
-2.504,1,-7,0,0,4,-1,1,1
-2.5,0,5,3,0,1,-1,-2,0
-2.496,-6,14,6,-2,1,-1,-3,0
-2.492,-7,5,-1,-7,5,0,0,1
-2.488,-2,1,-8,-4,1,0,0,-1
-2.484,3,-4,0,3,-6,2,2,0
-2.48,8,-14,7,6,-4,3,0,4
-2.476,8,-10,1,5,2,1,-1,1
-2.472,0,9,-4,-1,3,-1,0,-1
-2.468,-11,19,-2,-6,3,-5,-1,-2
-2.464,-7,4,0,0,1,-3,1,0
-2.46,1,-10,-2,3,0,-2,0,1
-2.456,2,-11,-2,-2,1,0,1,0
-2.452,0,-7,9,-7,-4,0,0,0
-2.448,1,4,8,0,-3,1,-2,0
-2.444,4,16,-7,7,1,9,-1,-2
-2.44,0,10,-12,3,4,5,0,-2
-2.436,-2,-6,3,-3,4,-12,0,0
-2.432,-4,-15,6,-3,2,-9,-2,3
-2.428,-1,-12,-5,1,1,4,-1,3
-2.424,3,3,-4,0,-3,5,1,-2
-2.42,4,20,10,-4,-5,0,0,-3
-2.416,0,12,5,-2,1,-2,-1,0
-2.412,-1,-8,-7,5,1,0,0,0
-2.408,0,-18,-7,12,5,5,0,2
-2.404,3,-10,0,2,4,6,0,0
-2.4,0,4,2,-11,0,-4,-2,0
-2.396,0,13,0,-8,-2,-12,-3,1
-2.392,0,5,0,2,-3,-5,1,3
-2.388,0,-3,0,5,0,4,1,0
-2.384,3,2,-5,2,1,8,0,-3
-2.38,3,3,-1,0,2,4,0,0
-2.376,0,-8,8,-3,1,-4,-2,4
-2.372,-2,-15,3,-3,0,-5,0,3
-2.368,0,2,-3,0,0,1,2,-1
-2.364,0,19,-3,3,-1,1,0,-3
-2.36,-6,17,-2,2,0,-3,-1,-1
-2.356,-3,-4,-5,2,1,-4,-1,1
-2.352,8,-20,0,-5,-2,2,-1,1
-2.348,5,-9,11,-10,-3,2,0,0
-2.344,-8,10,10,0,1,2,2,-1
-2.34,-3,6,-1,13,6,1,0,0
-2.336,7,-6,-9,7,3,-2,-3,0
-2.332,6,0,-8,-5,-2,-4,0,0
-2.328,-4,11,0,-9,-3,1,1,0
-2.324,-5,5,4,-4,0,4,0,0
-2.32,-2,-3,5,2,4,-5,-4,-1
-2.316,5,-11,3,5,0,-4,-2,-1
-2.312,6,-7,1,2,-3,9,2,0
-2.308,0,2,-5,-2,1,5,2,1
-2.304,-5,4,-9,-5,5,-14,1,1
-2.3,-3,4,0,-1,1,-6,-1,-1
-2.296,0,8,8,0,-2,8,0,-4
-2.292,1,1,0,0,-1,7,-2,0
-2.288,0,-11,-2,4,2,-7,-1,5
-2.284,0,-9,0,7,1,-2,0,3
-2.28,-2,3,0,-1,0,4,1,-1
-2.276,-1,7,-3,-6,-1,2,0,-2
-2.272,0,0,3,-1,1,-1,-1,1
-2.268,4,-2,2,0,0,-2,-1,1
-2.264,5,-1,-1,0,0,0,0,0
-2.26,-3,2,1,3,-1,-4,1,0
-2.256,-6,5,0,2,1,0,4,0
-2.252,-4,-4,-3,-3,-1,8,-2,0
-2.248,0,-9,-3,-1,-1,8,-2,0
-2.244,6,2,0,2,2,-2,0,4
-2.24,2,9,-3,-2,4,-11,1,3
-2.236,-7,0,0,-5,1,-7,-1,-3
-2.232,-2,-9,11,2,0,0,0,-3
-2.228,11,-3,6,6,1,5,0,1
-2.224,6,6,-4,-1,0,3,1,3
-2.22,-15,9,-9,-6,-1,0,0,0
-2.216,-12,3,-4,1,-2,0,-1,-2
-2.212,9,-9,3,4,0,-2,-1,0
-2.208,14,-12,5,0,1,-6,0,1
-2.204,1,0,4,-3,5,-2,0,2
-2.2,-9,11,0,1,3,3,2,0
-2.196,-4,8,-3,-1,-3,4,-2,-2
-2.192,2,0,0,-3,-3,1,-1,-2
-2.188,1,-5,4,0,1,2,-1,-1
-2.184,0,-7,0,2,0,1,0,0
-2.18,1,-1,-6,-2,0,-10,0,0
-2.176,5,4,-3,0,4,-7,0,0
-2.172,4,4,4,4,1,7,0,1
-2.168,-1,1,6,0,0,15,0,0
-2.164,-7,0,-2,-5,0,3,-1,0
-2.16,-2,-1,-3,0,0,-10,0,0
-2.156,5,0,-2,3,-1,-9,0,0
-2.152,7,1,0,-2,0,0,0,0
-2.148,-1,-1,1,-2,1,8,0,0
-2.144,-4,0,2,4,0,3,-1,3
-2.14,-2,4,1,1,1,-2,-2,1
-2.136,3,2,-2,-3,-1,0,1,-4
-2.132,-1,-2,-2,-1,-1,3,0,-2
-2.128,0,-3,-2,-1,1,0,-1,3
-2.124,3,0,0,-2,2,-1,-3,3
-2.12,2,1,0,0,0,-2,0,0
-2.116,-3,2,-1,3,0,-7,0,-4
-2.112,-5,1,0,-3,2,-1,0,0
-2.108,-3,0,3,-4,1,11,0,1
-2.104,4,1,0,2,0,6,0,1
-2.1,7,-1,-3,5,1,-5,-1,-1
-2.096,0,-2,-4,-1,0,-3,-1,0
-2.092,-3,1,-6,-7,0,-2,0,0
-2.088,-2,5,-2,-4,0,-7,2,1
-2.084,1,0,11,0,2,-2,-1,1
-2.08,1,-4,11,2,2,6,0,2
-2.076,1,0,-4,-1,0,4,0,-1
-2.072,0,6,-12,-1,0,0,0,-2
-2.068,1,0,-3,0,0,-1,-1,0
-2.064,-1,-8,2,1,0,2,-4,3
-2.06,-3,-1,-1,0,0,3,0,1
-2.056,-2,9,1,-5,1,-5,0,0
-2.052,1,7,5,-2,3,-13,0,-1
-2.048,4,-2,0,2,0,-3,-1,-1
-2.044,6,-8,-4,3,-2,14,-2,0
-2.04,0,-2,-5,-1,-1,14,0,0
-2.036,-4,0,0,-2,1,0,0,-1
-2.032,-6,0,2,-1,0,-6,0,-1
-2.028,4,5,3,-1,1,-5,0,0
-2.024,9,4,-2,-2,2,-5,0,1
-2.02,0,-3,-5,-1,0,-2,0,0
-2.016,-4,-3,2,0,-1,4,0,0
-2.012,1,2,4,2,-1,10,-1,0
-2.008,4,1,0,0,1,4,-2,0
-2.004,-1,-4,0,-4,0,-7,-2,1
-2.0,0,-1,0,-2,-1,-5,0,0
-1.996,3,5,-8,1,1,4,0,-1
-1.992,0,3,-4,0,0,4,0,0
-1.988,-3,0,8,-1,1,-9,0,0
-1.984,1,-2,7,-1,2,-6,0,0
-1.98,8,-2,-6,-1,0,11,0,0
-1.976,3,1,-6,-2,0,14,-1,1
-1.972,-7,5,0,-2,0,-3,0,2
-1.968,-8,1,0,6,1,-11,-2,0
-1.964,2,0,1,3,0,-1,-3,0
-1.96,9,-2,6,-6,0,4,1,0
-1.956,2,0,0,-9,0,4,1,-1
-1.952,-6,2,-5,0,2,4,0,-2
-1.948,-2,5,-1,6,2,-2,-2,0
-1.944,0,2,3,2,-2,-2,1,1
-1.94,3,-2,-3,-5,-1,2,1,1
-1.936,6,-6,-2,-4,2,4,0,0
-1.932,-2,-4,11,2,2,-2,0,-2
-1.928,-8,6,7,1,0,-1,1,0
-1.924,0,6,-7,-3,0,2,-3,1
-1.92,5,0,-10,-2,0,-1,-2,2
-1.916,3,-1,-1,-1,1,-6,0,-1
-1.912,0,1,-1,1,-1,0,0,-3
-1.908,-3,-3,1,4,-2,5,1,0
-1.904,0,-6,5,4,1,1,0,2
-1.9,1,3,6,-4,2,-2,0,1
-1.896,-1,8,1,-6,1,0,-3,0
-1.892,-5,1,-7,0,1,-1,-2,0
-1.888,0,0,-8,3,1,-2,-1,0
-1.884,1,4,-3,0,-1,0,0,1
-1.88,1,0,4,-2,-2,3,0,0
-1.876,3,-6,3,-1,-1,0,0,-1
-1.872,4,-2,0,3,3,0,0,-2
-1.868,-3,4,3,5,3,1,1,1
-1.864,-1,7,4,-1,0,-3,-1,2
-1.86,-2,4,-1,-5,-3,-5,-2,1
-1.856,0,-1,-5,-4,1,1,-1,0
-1.852,1,-2,-5,-1,1,4,-1,0
-1.848,0,0,-2,2,-2,0,1,0
-1.844,-5,3,2,4,-2,0,0,0
-1.84,-2,-2,6,1,1,3,-2,0
-1.836,6,-3,3,-2,0,-7,0,0
-1.832,5,2,0,-2,1,-8,0,0
-1.828,-3,8,-4,0,3,6,0,1
-1.824,-5,0,-4,0,2,8,-1,0
-1.82,-1,-4,-3,-2,-1,-5,0,-1
-1.816,-1,-5,4,-1,-2,-10,0,0
-1.812,0,-2,6,-3,0,1,0,0
-1.808,0,7,0,0,-1,5,0,0
-1.804,-2,6,-7,5,0,3,-1,0
-1.8,-3,-2,-4,4,1,-1,0,2
-1.796,3,-5,3,-4,3,-5,1,1
-1.792,4,-4,2,-3,1,0,0,-1
-1.788,-2,0,1,-4,-3,0,-1,0
-1.784,-2,7,0,-4,0,-3,-1,0
-1.78,0,7,0,-1,2,-1,0,2
-1.776,3,-5,0,2,0,6,0,1
-1.772,-1,-7,-1,2,-1,3,0,0
-1.768,-2,0,-6,3,1,-4,-1,-1
-1.764,-1,4,1,3,3,-2,0,-2
-1.76,2,1,8,-1,2,1,1,0
-1.756,7,2,0,-11,1,0,0,0
-1.752,3,1,-4,-6,0,-3,-2,-2
-1.748,-5,0,2,4,-1,0,0,-2
-1.744,-5,0,2,5,0,2,1,0
-1.74,0,1,-8,-1,2,1,0,3
-1.736,1,3,-5,-1,0,0,0,1
-1.732,1,0,2,1,0,-2,0,0
-1.728,5,2,2,-2,-1,-2,0,-1
-1.724,2,1,0,-3,1,0,1,-3
-1.72,0,-3,-2,-2,2,1,0,0
-1.716,0,-4,1,0,0,0,-2,0
-1.712,0,0,3,0,0,-1,-2,0
-1.708,0,5,-3,0,0,-1,0,-1
-1.704,-1,5,-3,1,2,3,3,0
-1.7,1,2,-1,2,1,-1,0,0
-1.696,0,-3,0,0,1,-6,-2,0
-1.692,1,-7,1,-1,-2,1,0,0
-1.688,4,1,5,-2,-1,9,0,0
-1.684,0,4,1,-1,0,2,0,3
-1.68,-1,0,-2,-5,-1,-3,0,0
-1.676,3,0,-2,0,1,-3,0,-2
-1.672,0,5,0,7,4,-6,0,1
-1.668,-5,4,1,3,2,-5,-2,2
-1.664,-3,-1,3,-5,0,8,0,-3
-1.66,0,-3,-1,-8,0,14,1,0
-1.656,8,-2,-3,0,-1,3,0,1
-1.652,4,-4,4,1,-1,-5,-1,1
-1.648,0,4,4,0,0,-4,0,-2
-1.644,-5,7,-5,0,1,-5,0,-1
-1.64,-1,4,-6,-1,-1,-7,-1,1
-1.636,0,-2,4,-1,0,1,-3,1
-1.632,1,-4,9,1,4,10,0,0
-1.628,0,-3,-2,-1,1,8,2,0
-1.624,-1,0,-7,-1,-1,1,0,0
-1.62,1,4,-1,1,-1,-2,0,2
-1.616,5,2,8,0,0,-7,0,1
-1.612,2,2,5,-2,0,-9,-2,0
-1.608,0,5,-4,0,2,-2,0,0
-1.604,-2,0,-7,0,3,4,0,0
-1.6,-2,-9,-1,-4,-1,4,0,-1
-1.596,-5,-5,7,-3,-3,4,0,0
-1.592,0,6,6,7,0,4,-2,0
-1.588,7,9,-4,6,3,-1,0,0
-1.584,5,0,-8,-4,1,-10,1,0
-1.58,-1,-4,0,-1,-1,-5,0,0
-1.576,-4,-1,8,1,-1,4,-1,0
-1.572,0,1,1,-2,0,6,-1,0
-1.568,0,1,-1,-3,0,0,0,-1
-1.564,0,0,2,4,-2,-4,0,0
-1.56,1,-1,0,3,0,-1,0,0
-1.556,-1,-1,0,2,0,6,0,0
-1.552,2,5,0,-1,1,7,-1,1
-1.548,6,4,-4,-5,2,0,-1,2
-1.544,0,0,-3,-1,1,-11,0,-1
-1.54,-2,-6,4,7,0,-8,0,-4
-1.536,3,-1,7,2,-2,3,-1,0
-1.532,4,1,1,-5,0,5,0,4
-1.528,-2,0,-5,-4,2,4,0,0
-1.524,-4,2,-10,1,0,2,0,-1
-1.52,3,2,-2,3,0,0,-2,0
-1.516,0,0,10,5,0,-7,-1,0
-1.512,0,-2,6,-1,1,-3,0,0
-1.508,1,-5,-4,-4,2,3,-2,0
-1.504,0,-5,-5,0,1,1,0,1
-1.5,0,2,-2,2,-2,-5,1,0
-1.496,0,6,-3,0,-1,2,-1,0
-1.492,0,3,2,0,1,8,0,0
-1.488,1,-5,9,-4,1,3,-1,0
-1.484,2,-6,2,-4,0,-5,-2,-1
-1.48,-2,-1,-6,1,0,-6,-2,0
-1.476,-6,3,-4,6,3,-3,0,0
-1.472,0,4,-4,0,1,3,1,0
-1.468,3,0,-2,-5,0,4,2,0
-1.464,1,-2,7,-1,0,5,0,0
-1.46,0,0,7,0,0,0,-4,-3
-1.456,6,2,0,-2,-1,-5,-3,-1
-1.452,0,2,0,-2,-2,-4,0,2
-1.448,-5,2,-3,2,0,-1,1,0
-1.444,-1,-3,-7,2,4,3,1,-2
-1.44,0,-4,0,2,2,7,0,0
-1.436,0,1,6,-2,-2,1,-3,2
-1.432,2,7,3,-3,-3,-9,-2,0
-1.428,6,1,-3,-1,0,-7,2,0
-1.424,1,-3,2,0,0,8,0,0
-1.42,-1,-2,3,0,-1,7,-2,0
-1.416,-2,-2,-5,1,0,-4,0,0
-1.412,-1,0,-7,2,1,-1,0,-1
-1.408,1,4,2,-2,1,6,0,2
-1.404,0,5,4,1,1,0,0,1
-1.4,3,1,1,4,0,-8,0,0
-1.396,4,-2,0,0,0,-3,0,-2
-1.392,0,-5,0,-6,-1,5,-2,2
-1.388,-4,0,-2,-4,0,4,0,3
-1.384,-2,3,-4,3,0,4,0,-1
-1.38,0,2,2,2,0,-2,0,-2
-1.376,4,-3,6,-3,0,-5,0,-1
-1.372,0,1,0,0,1,-2,0,0
-1.368,-2,5,-10,0,-3,0,-1,0
-1.364,0,4,-1,0,0,1,-1,0
-1.36,6,-3,9,0,3,8,0,0
-1.356,0,-4,4,0,1,2,2,0
-1.352,-3,0,-8,-2,-1,-10,-1,0
-1.348,-2,4,-4,-4,2,-7,0,0
-1.344,-1,1,4,-5,1,3,-1,1
-1.34,0,-5,3,1,-1,3,-1,0
-1.336,5,0,-1,3,-1,2,-1,-2
-1.332,4,8,-1,6,2,4,0,0
-1.328,-4,4,0,5,0,-1,0,3
-1.324,-4,-5,0,-2,-1,-6,1,2
-1.32,0,-6,0,-8,0,-4,1,-1
-1.316,2,-4,-2,-5,0,2,0,-1
